iter	Passed	Remaining
0	187	187665
1	260	129870
2	311	103484
3	372	92710
4	440	87687
5	507	84154
6	577	81938
7	659	81738
8	730	80433
9	808	80013
10	903	81221
11	988	81401
12	1074	81568
13	1154	81299
14	1232	80907
15	1315	80894
16	1393	80565
17	1466	79997
18	1549	80001
19	1642	80464
20	1726	80475
21	1812	80585
22	1901	80765
23	1997	81240
24	2092	81593
25	2190	82045
26	2284	82314
27	2367	82172
28	2462	82466
29	2574	83226
30	2670	83481
31	2752	83253
32	2838	83178
33	2927	83174
34	3022	83345
35	3108	83236
36	3202	83347
37	3280	83051
38	3377	83222
39	3457	82982
40	3538	82759
41	3613	82414
42	3698	82323
43	3782	82191
44	3857	81870
45	3935	81619
46	4012	81359
47	4091	81149
48	4178	81093
49	4260	80957
50	4351	80980
51	4419	80572
52	4506	80520
53	4580	80251
54	4657	80022
55	4732	79778
56	4809	79568
57	4878	79238
58	4948	78920
59	5023	78701
60	5096	78450
61	5176	78318
62	5242	77966
63	5320	77810
64	5395	77605
65	5473	77461
66	5552	77324
67	5650	77441
68	5716	77134
69	5795	76998
70	5860	76685
71	5931	76451
72	6004	76243
73	6076	76039
74	6147	75820
75	6224	75679
76	6287	75369
77	6363	75225
78	6433	75008
79	6514	74916
80	6607	74963
81	6683	74822
82	6753	74608
83	6825	74435
84	6896	74238
85	6978	74166
86	7051	73997
87	7134	73942
88	7211	73815
89	7293	73743
90	7372	73639
91	7444	73478
92	7523	73373
93	7597	73230
94	7677	73135
95	7754	73024
96	7831	72905
97	7908	72791
98	7982	72645
99	8064	72580
100	8136	72422
101	8212	72300
102	8278	72098
103	8346	71905
104	8421	71779
105	8505	71736
106	8588	71680
107	8696	71829
108	8831	72194
109	8965	72537
110	9065	72608
111	9187	72844
112	9264	72722
113	9412	73149
114	9524	73297
115	9599	73155
116	9695	73171
117	9805	73290
118	9931	73525
119	10040	73628
120	10129	73586
121	10246	73744
122	10392	74099
123	10488	74096
124	10571	73997
125	10650	73876
126	10736	73801
127	10818	73702
128	10895	73566
129	10972	73430
