,用户ID (User ID),用户行为 (User behaviour),博主ID (Blogger ID),时间 (Time),当前博主观看数,当前博主点赞数,当前博主评论数,当前博主关注数,当前博主互动数
31717,U22405,2,B52,2024-07-11 16:37:48,219,172,36,6,433
31718,U22405,1,B52,2024-07-11 16:37:48,220,172,36,6,434
31842,U22405,2,B42,2024-07-11 16:38:27,221,158,42,5,426
31844,U22405,1,B42,2024-07-11 16:38:27,222,158,42,5,427
31878,U9,1,B76,2024-07-11 16:38:37,450,234,74,26,784
31880,U9,3,B76,2024-07-11 16:38:37,450,234,75,26,785
31986,U22405,1,B47,2024-07-11 16:39:06,395,314,45,16,770
31987,U22405,2,B47,2024-07-11 16:39:06,395,315,45,16,771
32249,U22405,1,B44,2024-07-11 16:40:34,357,251,50,18,676
32250,U22405,3,B44,2024-07-11 16:40:34,357,251,51,18,677
32391,U22405,2,B59,2024-07-11 16:41:07,356,231,101,15,703
32393,U22405,1,B59,2024-07-11 16:41:07,357,231,101,15,704
34524,U9,2,B72,2024-07-11 16:51:37,431,179,59,26,695
34526,U9,1,B72,2024-07-11 16:51:37,432,179,59,26,696
35876,U9,2,B7,2024-07-11 16:58:23,566,306,96,23,991
35877,U9,1,B7,2024-07-11 16:58:23,567,306,96,23,992
36975,U9,1,B24,2024-07-11 17:03:39,623,353,111,20,1107
40036,U9,4,B23,2024-07-11 17:16:33,778,457,109,41,1385
40038,U9,1,B23,2024-07-11 17:16:33,779,457,109,41,1386
40039,U9,2,B23,2024-07-11 17:16:33,779,458,109,41,1387
58232,U9,1,B24,2024-07-11 18:52:32,1003,598,177,40,1818
58234,U9,2,B24,2024-07-11 18:52:32,1003,599,177,40,1819
58450,U9,1,B7,2024-07-11 18:53:51,935,562,205,56,1758
59554,U9,1,B23,2024-07-11 19:00:39,1192,722,181,71,2166
61444,U9,2,B4,2024-07-11 19:10:33,1413,757,307,71,2548
61445,U9,3,B4,2024-07-11 19:10:33,1413,757,308,71,2549
61448,U9,1,B4,2024-07-11 19:10:33,1414,757,308,71,2550
89583,U9,1,B13,2024-07-11 22:02:14,2072,1235,342,109,3758
89585,U9,2,B13,2024-07-11 22:02:14,2072,1236,342,109,3759
90373,U9,1,B12,2024-07-11 22:05:38,1705,776,319,98,2898
90374,U9,2,B12,2024-07-11 22:05:38,1705,777,319,98,2899
92157,U9,1,B22,2024-07-11 22:13:38,152,75,33,16,276
96551,U9,3,B24,2024-07-11 22:38:06,1629,958,276,68,2931
96553,U9,1,B24,2024-07-11 22:38:06,1630,958,276,68,2932
103561,U9,1,B2,2024-07-11 23:20:32,1888,935,389,128,3340
103562,U9,4,B2,2024-07-11 23:20:32,1888,935,389,129,3341
105993,U9,1,B68,2024-07-11 23:39:57,929,305,155,48,1437
105994,U9,3,B68,2024-07-11 23:39:57,929,305,156,48,1438
111482,U9,3,B3,2024-07-12 00:17:56,1800,1134,321,122,3377
111483,U9,2,B3,2024-07-12 00:17:56,1800,1135,321,122,3378
111484,U9,1,B3,2024-07-12 00:17:56,1801,1135,321,122,3379
112796,U16,1,B2,2024-07-12 00:24:37,2066,1038,429,148,3681
115901,U16,2,B68,2024-07-12 00:42:03,1036,351,172,56,1615
115903,U16,1,B68,2024-07-12 00:42:03,1037,351,172,56,1616
122102,U16,3,B7,2024-07-12 01:13:28,2162,1359,457,148,4126
122103,U16,1,B7,2024-07-12 01:13:28,2163,1359,457,148,4127
122795,U16,2,B13,2024-07-12 01:16:31,2845,1699,484,159,5187
122796,U16,1,B13,2024-07-12 01:16:31,2846,1699,484,159,5188
123199,U16,1,B12,2024-07-12 01:18:08,2263,1067,412,129,3871
136914,U9,1,B7,2024-07-12 02:08:06,2425,1523,516,160,4624
144904,U9,1,B27,2024-07-12 02:39:58,367,237,88,32,724
144907,U9,3,B27,2024-07-12 02:39:58,367,237,89,32,725
144908,U9,4,B27,2024-07-12 02:39:58,367,237,89,33,726
144909,U9,2,B27,2024-07-12 02:39:58,367,238,89,33,727
152586,U9,2,B16,2024-07-12 03:12:38,1272,794,268,94,2428
152592,U9,1,B16,2024-07-12 03:12:38,1273,794,268,94,2429
218065,U9,1,B6,2024-07-12 15:45:36,976,504,157,65,1702
220530,U9,1,B23,2024-07-12 15:55:24,3786,2157,554,216,6713
221331,U9,2,B4,2024-07-12 15:58:49,4457,2301,864,241,7863
221335,U9,1,B4,2024-07-12 15:58:49,4458,2301,864,241,7864
229943,U9,1,B68,2024-07-12 16:31:03,1698,541,262,82,2583
229945,U9,3,B68,2024-07-12 16:31:03,1698,541,263,82,2584
229946,U9,2,B68,2024-07-12 16:31:03,1698,542,263,82,2585
230806,U9,1,B24,2024-07-12 16:34:34,3298,1923,536,131,5888
232397,U22405,1,B43,2024-07-12 16:40:44,1466,1052,360,66,2944
232398,U22405,3,B43,2024-07-12 16:40:44,1466,1052,361,66,2945
232658,U22405,1,B52,2024-07-12 16:41:59,1959,1390,491,84,3924
232659,U22405,3,B52,2024-07-12 16:41:59,1959,1390,492,84,3925
233010,U22405,1,B42,2024-07-12 16:43:18,2095,1416,578,49,4138
233011,U22405,3,B42,2024-07-12 16:43:18,2095,1416,579,49,4139
233153,U22405,1,B47,2024-07-12 16:43:50,3081,2438,530,75,6124
233154,U22405,2,B47,2024-07-12 16:43:50,3081,2439,530,75,6125
233272,U22405,1,B44,2024-07-12 16:44:23,3221,2203,697,167,6288
233452,U22405,1,B59,2024-07-12 16:45:04,3579,2370,1040,148,7137
233453,U22405,2,B59,2024-07-12 16:45:04,3579,2371,1040,148,7138
233859,U22405,1,B45,2024-07-12 16:46:41,3017,2068,771,136,5992
233860,U22405,3,B45,2024-07-12 16:46:41,3017,2068,772,136,5993
234923,U9,2,B2,2024-07-12 16:50:48,4254,2117,806,256,7433
234924,U9,1,B2,2024-07-12 16:50:48,4255,2117,806,256,7434
326310,U9,1,B2,2024-07-12 23:45:34,6008,3088,1150,350,10596
326312,U9,3,B2,2024-07-12 23:45:34,6008,3088,1151,350,10597
329424,U9,3,B7,2024-07-12 23:59:11,5885,3597,1124,332,10938
329425,U9,1,B7,2024-07-12 23:59:11,5886,3597,1124,332,10939
329468,U9,1,B6,2024-07-12 23:59:25,2348,1294,381,148,4171
329997,U9,1,B8,2024-07-13 00:01:45,2793,1924,448,190,5355
333452,U9,2,B68,2024-07-13 00:16:02,2365,728,366,121,3580
333453,U9,1,B68,2024-07-13 00:16:02,2366,728,366,121,3581
339560,U9,4,B21,2024-07-13 00:44:29,16323,9457,2913,588,29281
339561,U9,1,B21,2024-07-13 00:44:29,16324,9457,2913,588,29282
340022,U9,1,B24,2024-07-13 00:46:31,4933,2879,820,189,8821
340856,U9,1,B23,2024-07-13 00:50:18,5902,3402,878,334,10516
340858,U9,3,B23,2024-07-13 00:50:18,5902,3402,879,334,10517
349079,U9,4,B12,2024-07-13 01:25:15,5667,2735,1049,358,9809
349083,U9,1,B12,2024-07-13 01:25:15,5668,2735,1049,358,9810
349634,U9,3,B72,2024-07-13 01:27:34,4600,2258,637,278,7773
349636,U9,1,B72,2024-07-13 01:27:34,4601,2258,637,278,7774
350198,U9,1,B13,2024-07-13 01:29:48,7521,4301,1448,447,13717
350202,U9,2,B13,2024-07-13 01:29:48,7521,4302,1448,447,13718
359077,U9,2,B3,2024-07-13 02:02:29,5986,3336,1021,390,10733
359081,U9,3,B3,2024-07-13 02:02:29,5986,3336,1022,390,10734
359083,U9,1,B3,2024-07-13 02:02:29,5987,3336,1022,390,10735
363115,U22405,2,B59,2024-07-13 02:15:29,5564,3705,1643,204,11116
363116,U22405,1,B59,2024-07-13 02:15:29,5565,3705,1643,204,11117
363282,U22405,2,B44,2024-07-13 02:16:04,4907,3181,1198,276,9562
363283,U22405,1,B44,2024-07-13 02:16:04,4908,3181,1198,276,9563
363474,U22405,1,B47,2024-07-13 02:16:41,4713,3676,905,103,9397
363475,U22405,2,B47,2024-07-13 02:16:41,4713,3677,905,103,9398
363782,U22405,1,B42,2024-07-13 02:17:46,3472,2342,960,98,6872
363784,U22405,2,B42,2024-07-13 02:17:46,3472,2343,960,98,6873
363984,U22405,1,B52,2024-07-13 02:18:24,3183,2249,809,132,6373
363986,U22405,2,B52,2024-07-13 02:18:24,3183,2250,809,132,6374
364447,U22405,1,B46,2024-07-13 02:20:03,1508,1045,415,39,3007
364448,U22405,2,B46,2024-07-13 02:20:03,1508,1046,415,39,3008
