用户ID (User ID),时间 (Time),在线频率,用户行为 (User behaviour),互动次数,小时,活跃次数
U16,2024-07-12,8,1,29,0,3
U16,2024-07-12,8,1,29,1,5
U16,2024-07-12,8,1,29,14,8
U16,2024-07-12,8,1,29,17,9
U16,2024-07-12,8,1,29,18,7
U16,2024-07-12,8,1,29,20,6
U16,2024-07-12,8,1,29,21,8
U16,2024-07-12,8,1,29,22,4
U16,2024-07-12,8,2,13,0,3
U16,2024-07-12,8,2,13,1,5
U16,2024-07-12,8,2,13,14,8
U16,2024-07-12,8,2,13,17,9
U16,2024-07-12,8,2,13,18,7
U16,2024-07-12,8,2,13,20,6
U16,2024-07-12,8,2,13,21,8
U16,2024-07-12,8,2,13,22,4
U16,2024-07-12,8,3,6,0,3
U16,2024-07-12,8,3,6,1,5
U16,2024-07-12,8,3,6,14,8
U16,2024-07-12,8,3,6,17,9
U16,2024-07-12,8,3,6,18,7
U16,2024-07-12,8,3,6,20,6
U16,2024-07-12,8,3,6,21,8
U16,2024-07-12,8,3,6,22,4
U16,2024-07-12,8,4,2,0,3
U16,2024-07-12,8,4,2,1,5
U16,2024-07-12,8,4,2,14,8
U16,2024-07-12,8,4,2,17,9
U16,2024-07-12,8,4,2,18,7
U16,2024-07-12,8,4,2,20,6
U16,2024-07-12,8,4,2,21,8
U16,2024-07-12,8,4,2,22,4
U16,2024-07-16,8,1,29,0,3
U16,2024-07-16,8,1,29,1,5
U16,2024-07-16,8,1,29,14,8
U16,2024-07-16,8,1,29,17,9
U16,2024-07-16,8,1,29,18,7
U16,2024-07-16,8,1,29,20,6
U16,2024-07-16,8,1,29,21,8
U16,2024-07-16,8,1,29,22,4
U16,2024-07-16,8,2,13,0,3
U16,2024-07-16,8,2,13,1,5
U16,2024-07-16,8,2,13,14,8
U16,2024-07-16,8,2,13,17,9
U16,2024-07-16,8,2,13,18,7
U16,2024-07-16,8,2,13,20,6
U16,2024-07-16,8,2,13,21,8
U16,2024-07-16,8,2,13,22,4
U16,2024-07-16,8,3,6,0,3
U16,2024-07-16,8,3,6,1,5
U16,2024-07-16,8,3,6,14,8
U16,2024-07-16,8,3,6,17,9
U16,2024-07-16,8,3,6,18,7
U16,2024-07-16,8,3,6,20,6
U16,2024-07-16,8,3,6,21,8
U16,2024-07-16,8,3,6,22,4
U16,2024-07-16,8,4,2,0,3
U16,2024-07-16,8,4,2,1,5
U16,2024-07-16,8,4,2,14,8
U16,2024-07-16,8,4,2,17,9
U16,2024-07-16,8,4,2,18,7
U16,2024-07-16,8,4,2,20,6
U16,2024-07-16,8,4,2,21,8
U16,2024-07-16,8,4,2,22,4
U16,2024-07-17,19,1,29,0,3
U16,2024-07-17,19,1,29,1,5
U16,2024-07-17,19,1,29,14,8
U16,2024-07-17,19,1,29,17,9
U16,2024-07-17,19,1,29,18,7
U16,2024-07-17,19,1,29,20,6
U16,2024-07-17,19,1,29,21,8
U16,2024-07-17,19,1,29,22,4
U16,2024-07-17,19,2,13,0,3
U16,2024-07-17,19,2,13,1,5
U16,2024-07-17,19,2,13,14,8
U16,2024-07-17,19,2,13,17,9
